Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Tourism Revenues;2010-02-28T00:00:00;13233;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-03-31T00:00:00;13465;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-04-30T00:00:00;13112;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-05-31T00:00:00;13933;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-06-30T00:00:00;14087;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-07-31T00:00:00;14253;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-08-31T00:00:00;14229;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-09-30T00:00:00;14508;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-10-31T00:00:00;14713;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-11-30T00:00:00;14610;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-12-31T00:00:00;14830;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-01-31T00:00:00;14850;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-02-28T00:00:00;14669;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-03-31T00:00:00;15102;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-04-30T00:00:00;15598;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-05-31T00:00:00;15796;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
